PFAS,tissue,toadID,day,concentration_ug_per_kg
PFBS,wholebody,22-0183,42,4.05
PFBS,wholebody,00-0206,42,2.19
PFBS,wholebody,22-0222,42,2.83
PFBS,wholebody,22-0225,42,4.07
PFBS,wholebody,22-0254,42,4.27
PFBS,wholebody,22-0186,49,0
PFBS,wholebody,22-0205,49,0
PFBS,wholebody,22-0207,49,4.52
PFBS,wholebody,22-0223,49,3.77
PFBS,wholebody,22-0226,49,3.76
PFBS,wholebody,22-0244,49,0
PFBS,wholebody,22-0187,56,2.3
PFBS,wholebody,22-0208,56,0
PFBS,wholebody,22-0228,56,1.92
PFBS,wholebody,22-0229,56,5.51
PFBS,wholebody,22-0245,56,0
PFBS,wholebody,22-0256,56,0
PFDA,liver,22-0180,0,92.53
PFDA,liver,22-0181,0,14.6
PFDA,liver,22-0196,0,10.36
PFDA,liver,22-0199,0,9.3
PFDA,liver,22-0201,0,10.34
PFDA,liver,22-0209,0,4.21
PFDA,liver,22-0210,0,6.31
PFDA,liver,22-0213,0,12.77
PFDA,liver,22-0230,0,11.26
PFDA,liver,22-0231,0,6.91
PFDA,liver,22-0246,0,2.99
PFDA,liver,22-0247,0,3.75
PFDA,liver,22-0237,0,3.7
PFDA,liver,22-0197,7,278.01
PFDA,liver,22-0212,7,252.64
PFDA,liver,22-0214,7,236.25
PFDA,liver,22-0232,7,269.49
PFDA,liver,22-0234,7,159.24
PFDA,liver,22-0249,7,331.95
PFDA,liver,22-0200,14,422.48
PFDA,liver,22-0215,14,289.82
PFDA,liver,22-0216,14,297.28
PFDA,liver,22-0233,14,379.38
PFDA,liver,22-0250,14,260.1
PFDA,liver,22-0202,21,331.66
PFDA,liver,22-0217,21,148.58
PFDA,liver,22-0218,21,299.91
PFDA,liver,22-0235,21,364.56
PFDA,liver,22-0240,21,416.21
PFDA,liver,22-0251,21,422.94
PFDA,liver,22-0203,28,369.1
PFDA,liver,22-0219,28,454.04
PFDA,liver,22-0221,28,374.39
PFDA,liver,22-0236,28,460.26
PFDA,liver,22-0241,28,402.92
PFDA,liver,22-0252,28,497.6
PFDA,liver,22-0182,35,714.77
PFDA,liver,22-0220,35,613.55
PFDA,liver,22-0224,35,860.61
PFDA,liver,22-0238,35,64.12
PFDA,liver,22-0253,35,316.06
PFDA,liver,22-0255,35,683.91
PFDA,liver,22-0183,42,331.97
PFDA,liver,00-0206,42,134
PFDA,liver,22-0222,42,524.51
PFDA,liver,22-0225,42,343.19
PFDA,liver,22-0254,42,361.55
PFDA,liver,22-0186,49,419.16
PFDA,liver,22-0205,49,371.11
PFDA,liver,22-0207,49,585.63
PFDA,liver,22-0223,49,283.29
PFDA,liver,22-0226,49,302.84
PFDA,liver,22-0244,49,253.73
PFDA,liver,22-0187,56,318.86
PFDA,liver,22-0208,56,362.34
PFDA,liver,22-0228,56,490.77
PFDA,liver,22-0229,56,177.45
PFDA,liver,22-0245,56,183.69
PFDA,liver,22-0256,56,161.18
PFDA,wholebody,22-0180,0,3.75
PFDA,wholebody,22-0181,0,0.98
PFDA,wholebody,22-0196,0,3.15
PFDA,wholebody,22-0199,0,3.38
PFDA,wholebody,22-0201,0,0.79
PFDA,wholebody,22-0209,0,1.39
PFDA,wholebody,22-0210,0,1.22
PFDA,wholebody,22-0213,0,1.62
PFDA,wholebody,22-0230,0,2.85
PFDA,wholebody,22-0231,0,1.39
PFDA,wholebody,22-0246,0,0.92
PFDA,wholebody,22-0247,0,0.86
PFDA,wholebody,22-0237,0,2.94
PFDA,wholebody,22-0197,7,68.49
PFDA,wholebody,22-0212,7,120.09
PFDA,wholebody,22-0214,7,200.7
PFDA,wholebody,22-0232,7,65.33
PFDA,wholebody,22-0234,7,44.95
PFDA,wholebody,22-0249,7,94.69
PFDA,wholebody,22-0200,14,89.74
PFDA,wholebody,22-0215,14,76.54
PFDA,wholebody,22-0216,14,365.59
PFDA,wholebody,22-0233,14,70.62
PFDA,wholebody,22-0250,14,113.66
PFDA,wholebody,22-0202,21,114.43
PFDA,wholebody,22-0217,21,76.34
PFDA,wholebody,22-0218,21,280.53
PFDA,wholebody,22-0235,21,94.17
PFDA,wholebody,22-0240,21,98.37
PFDA,wholebody,22-0251,21,203.47
PFDA,wholebody,22-0203,28,343.91
